Label,Quadrant,Ring,Moved,Url
Prävention als Krisenresilienz-Hebel,0,0,0,
Skalierte Erste-Hilfe-Qualifizierung,0,0,0,
Breite Sicherheitsbeauftragten-Qualifizierung,0,0,0,
Präventionsbudget als fester Systembaustein,0,0,0,
Branchenspezifische Prävention in großer Breite,1,0,0,
Digitale Lernformate für Arbeitsschutz,1,1,0,
Kostenfreie Videoformate für Arbeitgeber-Schulung,1,1,0,
Frühprävention für Auszubildende,1,1,0,
Aktualisierung der betriebsärztlichen und sicherheitstechnischen Betreuung,2,0,0,
Ausgebaute Präventionskooperationen,2,1,0,
Mitbestimmung als Arbeitsschutz-Governance,2,2,0,
Rückbau spezifischer EMF-Regelung,2,3,0,
IT-Konsolidierung im Arbeitsschutz,3,1,0,
KI im Arbeitsschutz und in der Prävention,3,2,0,
Partizipatives Trend-Scanning für Prävention,3,2,0,
Klimarisiko Hitze für Beschäftigte im Freien,3,2,0,
