Label,Quadrant,Ring,Moved,Url
Single-Pair-Ethernet als Fahrzeug-Basislink,1,0,0,
100/1000BASE-T1 in Serien-PHYs,1,0,0,
Multi-Gig Automotive Ethernet über Kupfer,1,0,0,
10BASE-T1S für kostensensitive Netze,1,0,0,
Zonale E/E-Architekturen im Volumensegment,1,1,0,
Zonencontroller-Industrialisierung,1,1,0,
Rückwärtskompatible Konnektoren für Zonenarchitekturen,1,1,0,
Deterministisches In-Vehicle Ethernet mit TSN-Profilen,1,2,0,
Automotive Glasfaser-Ethernet standardisiert,2,0,0,
Hybridsteckverbinder für Daten, Signal und Leistung,2,0,0,
Modulare Automotive-Hybridsteckverbinder für zonale E/E,2,1,0,
Hochstrom-Ladeverbinder jenseits 500 A,2,1,0,
Megawatt-Laden mit 1.000 V/1.000+ A Plattformen,2,1,0,
25G elektrische Automotive Ethernet PHYs,2,2,0,
Asymmetrische Automotive-Ethernet-Kameralinks,2,2,0,
Automatisierte Leitungssatzfertigung für HV/HF-Module,2,2,0,
224G SerDes als operative Interconnect-Stufe,3,0,0,
Co-Packaged Optics für 51,2T bis 100T Switches,3,1,0,
Abnehmbare Optik-Koppler für 3D-CPO-Wartbarkeit,3,1,0,
448G-Connector- und Channel-Ökosystem,3,2,0,
Breites Ethernet-Standardspektrum als Entwicklungsbasis,4,0,0,
Security-by-Design in Automotive PHYs,4,0,0,
Automotive-Ethernet-Konformitätstest als Marktbeschleuniger,4,1,0,
Lange IEEE-Standardisierungszyklen bremsen PHY-Roadmaps,4,2,0,
Rohstoff- und Stoffcompliance verschärft Steckverbinder-Redesigns,4,2,0,
Korrekturbedarf bei Automotive-Optik-Metriken,4,3,0,
