Label,Quadrant,Ring,Moved,Url
Open-Access-Publikationsabkommen,1,0,0,
Forschungsdatenmanagement als Bibliotheksservice,1,0,0,
Data Stewardship in Bibliotheken,1,1,0,
Institutionelle Repositorien für Open Access,1,0,0,
Nationale Discovery-Plattformen,2,0,0,
Bibliotheken als Daten-Hubs,2,1,0,
Offene Metadaten- und API-Infrastrukturen,2,1,0,
Bibliotheks-Apps und plattformübergreifende Zugänge,2,2,0,
Bibliothek als stark frequentierter Lernort,3,0,0,
Flexible Lernräume und zentrale Standorte,3,0,0,
Open Library und erweiterte Zugänglichkeit,3,1,0,
Nutzerzentrierte Angebotsoptimierung,3,0,0,
Massendigitalisierung historischer Bestände,4,0,0,
KI-gestützte Erschließung und Transkription,4,1,0,
Bibliothek der Dinge,4,1,0,
Physische Monografiebestände als Wachstumsfokus,4,3,0,
