Label,Quadrant,Ring,Moved,Url
Präventionsoffensive und politischer Paradigmenwechsel,0,0,0,https://www.bundesgesundheitsministerium.de/presse/pressemitteilungen/praeventionsoffensive-startet-gesundheit-pm-16-07-2026
Prävention als gesamtgesellschaftische Investitionslogik,0,1,0,https://www.aerzteblatt.de/news/rufe-nach-paradigmenwechsel-bei-pravention-und-gesundheitsforderung-663963b2-798a-4bc1-be70-246f0181218c
Multi-Stakeholder-Governance und koordinierte Zielbilder,0,1,0,https://www.aerzteblatt.de/news/rufe-nach-paradigmenwechsel-bei-pravention-und-gesundheitsforderung-663963b2-798a-4bc1-be70-246f0181218c
Stiftungsmodelle für Präventionsfinanzierung,0,3,0,https://www.diabsite.de/aktuelles/nachrichten/2004/040615d.html
Verstetigte Präventionsfinanzierung der GKV,1,0,0,https://www.medizinischerdienst.de/aktuelles-presse/meldungen/artikel/praeventionsbericht-2025-investitionen-der-krankenkassen-erreichen-neuen-hoechststand
Gesetzlich verankerte Präventionspflicht und Leitfadensteuerung,1,0,0,https://praevention.rlp.de/bundesebene
Differenzierte Mittelallokation nach Interventionsfeldern,1,0,0,https://md-bund.de/fileadmin/dokumente/Publikationen/GKV/Praevention/Praeventionsbericht_2025_barrierefrei.pdf
Pflege als wachsender Präventionsmarkt,1,1,0,https://www.amboss.com/de/wissen/pravention-und-gesundheitsforderung
Scaling in Lebenswelten,2,0,0,https://www.gkv-spitzenverband.de/media/dokumente/krankenversicherung_1/praevention__selbsthilfe__beratung/praevention/praeventionsbericht/2025_GKV_MD_Praventionsbericht_barrierefrei.pdf
Frühe Prävention in Kitas und Grundschulen,2,0,0,https://www.vdek.com/LVen/BERBRA/Vertragspartner/Praevention/_jcr_content/par/publicationelement_1517511602/file.res/Pr%C3%A4ventionsbericht%202024%20(Berichtsjahr%202023)%20-%202024_GKV_MD_Praventionsbericht_barrierefrei.pdf
Projektlandschaften und Maßnahmenportfolios als Marktinfrastruktur,2,1,0,https://www.gesundheits.de/index.php/vorsorge/praevention
Präventionszugänge über kommunale und institutionelle Basisstrukturen,2,1,0,https://pmc.ncbi.nlm.nih.gov/articles/PMC11248731
BGF als etablierter Kernmarkt,3,0,0,https://www.gkv-spitzenverband.de/gkv_spitzenverband/presse/pressemitteilungen_und_statements/pressemitteilung_2158637.jsp
BGF-Konsolidierung trotz sinkender Reichweite,3,2,0,https://www.gkv-spitzenverband.de/gkv_spitzenverband/presse/pressemitteilungen_und_statements/pressemitteilung_2158637.jsp
Digitale und hybride BGF-Angebote,3,1,0,https://www.gkv-spitzenverband.de/media/dokumente/krankenversicherung_1/praevention__selbsthilfe__beratung/praevention/praeventionsbericht/2022_GKV_MDS_Praeventionsbericht_barrierefrei.pdf
"Führung, Stress und mentale Gesundheit als BGF-Schwerpunkt",3,1,0,https://www.gesetzlichekrankenkassen.de/leistungsvergleich/betriebliche-gesundheitsfoerderung/581/Zus%C3%A4tzliche+Leistungsangebote+f%C3%BCr+Arbeitgeber
Anreizsysteme und steuerliche Förderung für Arbeitgeber,3,0,0,https://www.bgf-koordinierungsstelle.de
Koordinierungsstellen und standardisierte BGF-Einstiegspfade,3,0,0,https://www.ihk.de/pfalz/infrastruktur-und-digitale-wirtschaft/gesundheitswirtschaft/betriebliches-gesundheitsmanagement-/finanzierung-betriebliches-gesundheitsmanagement-5794482
