Label,Quadrant,Ring,Moved,Url
Robotisch assistierte Chirurgie im Routineeinsatz,0,0,0,https://www.docwirenews.com/post/top-5-robotic-surgery-systems
Klinische Skalierung robotischer OP-Programme,0,0,0,https://www.it-boltwise.de/kfsh-zeigt-auf-der-hlth-europe-2026-wie-robotik-chirurgie-skalierbar-wird.html
KI in robotergestützter Chirurgie,0,1,0,https://www.fortunebusinessinsights.com/ai-in-robot-assisted-surgery-market-114135
Präzisionsrobotik mit erweiterter Visualisierung,0,1,0,https://www.uniklinik-freiburg.de/frauenheilkunde/operative-therapie/robotic-und-minimalinvasive-chirurgie.html
Teilautonome chirurgische Assistenzsysteme,0,2,0,https://www.medicalblogs.de/robotik-ki-chirurgie-trends/
Telechirurgie mit niedriger Latenz,0,2,0,https://www.medicalblogs.de/robotik-ki-chirurgie-trends/
Vollautonome Chirurgie,0,3,0,https://www.bdc.de/wenn-roboter-operieren-chancen-und-grenzen-der-autonomen-chirurgie/
Vollständig digitalisierte Radiologie-Workflows,1,0,0,https://www.friedrich-ebert-krankenhaus.de/medizinische-versorgung/kliniken/diagnostische-interventionelle-radiologie/
Teleradiologie und standortübergreifende Vernetzung,1,0,0,https://www.linkedin.com/in/pd-dr-thomas-m-bernhardt-7a5123b6
KI-gestützte Radiologie-Beschleunigung,1,1,0,https://unternehmen.focus.de/radiologie-magdeburg.html
Standardisierte Bilddateninfrastruktur,1,1,0,https://fachportal.gematik.de/fileadmin/Fachportal/Roadmap/Q1-2026/OneRoadmap-Produkte__2026-Q1_.pdf
Einheitliche Datenmodelle für Medizinprodukte und Bildgebung,1,2,0,https://www.elektroniknet.de/medizintechnik/e-health/einheitliches-datenmodell-fuer-medizinprodukte-veroeffentlicht.e7dec7d4-73f2-41bb-a85a-63bb8ca42040.html
KI-Integration über IHE-Profile in die Befundung,1,2,0,https://link.springer.com/article/10.1007/s00117-026-01588-5
First-in-class molekulare PET/CT-Diagnostik im Kardiobereich,1,3,0,https://www.eqs-news.com/de/news/corporate/pentixapharm-gibt-fda-freigabe-der-phase-3-studie-panda-bekannt-gruenes-licht-fuer-ein-kardiovaskulaeres-first-in-class-diagnostikprogramm/0dd92556-49f8-4a7e-9656-c69f9276428e_de
Medizinische Sensoren als Wachstumsplattform,2,0,0,https://www.fortunebusinessinsights.com/de/industrie-berichte/markt-f-r-medizinische-sensoren-101097
Tragbare Sensorik für Gesundheitsüberwachung,2,0,0,https://www.businessresearchinsights.com/de/market-reports/wearable-sensors-market-118751
Implantierbare Fernüberwachung,2,1,0,https://www.businessresearchinsights.com/de/market-reports/implantable-remote-patient-monitoring-device-market-105995
CE-zugelassene Langzeit-CGM-Systeme,2,1,0,https://www.prnewswire.com/news-releases/fibersense-erhalt-ce-kennzeichnung-fur-kontinuelles-blutzucker-messsystem-302802947.html
KI-gestützte textile Wearables für kardiovaskuläre Diagnostik,2,2,0,https://www.fraunhofer.de/de/forschung/artikel-2026/smarte-wearables.html
Implantatnahe Heimüberwachung nach Stent-Implantation,2,2,0,https://cordis.europa.eu/article/id/462159-smart-surveillance-of-blocked-arteries-at-home/de
MDR als dominanter Regulierungsrahmen,3,0,0,https://swissmpc.com/de/blog/eu-mdr-2026-update
Verbindliche EUDAMED-Digitalisierung,3,0,0,https://www.tuev-nord.de/de/wissen/standards-im-blick/eudamed-obligatorische-nutzung-von-vier-modulen-ab-28-mai-2026/
Integrierte MDR- und AI-Act-Compliance,3,1,0,https://pexon-consulting.de/blog/eu-ai-act-gesundheitswesen/
Variantenmanagement und automatisierte Testplanung,3,1,0,https://www.testbench.com/de/testbench-bei-ziehm-imaging-variantenmanagement-fuer-hoechste-ansprueche-in-der-medizintechnik/
Vereinfachte MDR-Prozesse für Hersteller,3,2,0,https://www.noerr.com/de/insights/reformvorschlag-der-kommission-zur-mdr-und-ivdr
QMSR- und FDA-Leitlinienverdichtung,3,2,0,https://www.hoganlovells.com/en/publications/fda-device-guidance-agenda-what-to-watch-in-2026
Regulatorisch hochkomplexe KI-DiGA,3,3,0,https://dux-healthcare.com/wissen/diga/
