Label,Quadrant,Ring,Moved,Url
KI-Triage und Priorisierung akuter radiologischer Befunde,0,0,0,https://www.finanznachrichten.de/nachrichten-2026-02/67709778-asklepios-schliesst-flaechendeckenden-ki-rollout-in-der-radiologie-erfolgreich-ab-28-kliniken-nutzen-aidoc-fuer-schnellere-patientenversorgung-007.htm
KI-gestützte Zweitbefundung im Lungenkrebsscreening,0,1,0,https://renewz.de/ki-pflicht-beim-lungenscreening-2026-regeln-abrechnung/
Erklärbare KI-Ausgaben zur Reduktion von Automationsbias,0,2,0,https://www.medmedia.at/relatus-med/wie-hilfreich-sind-ki-diagnosen/
KI-gestützte Bildqualitätsprüfung vor der Befundung,0,2,0,https://www.refresher-zentrum.de/wissensakademie/ki-radiologie-zukunft
Cloud-PACS und plattformbasierte standortübergreifende KI-Bereitstellung,1,1,0,https://radiologiemagazin.de/veranstaltungen/die-zweite-welle-der-ki.html
Interoperable Radiologie-Datenstrukturen für Screening- und KI-Workflows,1,1,0,https://www.prnewswire.com/de/pressemitteilungen/vergutung-fur-das-lungenkrebsscreening-in-deutschland-ab-2026-festgelegt-neue-anforderungen-an-die-operative-umsetzung-in-krankenhausern-302738188.html
Standardschicht aus IHE-Profilen und DICOM-Weiterentwicklung für KI-Integration,1,2,0,https://radiologiemagazin.de/veranstaltungen/die-zweite-welle-der-ki.html
AI-Act-Hochrisiko-Compliance für medizinische KI in der Radiologie,2,0,0,https://www.medcontroller.de/2026/06/24/wie-veraendert-der-eu-ai-act-den-einsatz-von-algorithmen-in-der-diagnostik/
Verschärfte FDA-Klassifizierung und Änderungssteuerung für KI-Radiologiesoftware,2,1,0,https://www.podcast.de/episode/704221378/fda-klassifizierung-fuer-ki-gestuetzte-radiologische-software-neue-klasse-ii-regeln-ab-2026
Lokale klinische Validierung als Beschaffungskriterium über CE/FDA hinaus,2,0,0,https://www.digital-chiefs.de/ki-diagnostik-krankenhaus-vorstand-governance-2026/
"Datenschutz-, Transparenz-, Haftungs- und Fairnessanforderungen für Radiologie-KI",2,0,0,https://www.refresher-zentrum.de/wissensakademie/ki-radiologie-zukunft
Fehlendes nationales Nutzungsregister für KI-Diagnostik,2,3,0,https://www.digital-chiefs.de/ki-diagnostik-krankenhaus-vorstand-governance-2026/
Flächendeckender KI-Rollout in Kliniknetzwerken als Wettbewerbsdifferenzierung,3,0,0,https://www.finanznachrichten.de/nachrichten-2026-02/67709778-asklepios-schliesst-flaechendeckenden-ki-rollout-in-der-radiologie-erfolgreich-ab-28-kliniken-nutzen-aidoc-fuer-schnellere-patientenversorgung-007.htm
Anbieterwettbewerb um regulierte Radiologie-KI-Plattformen,3,1,0,https://mybusinessfuture.com/ki-medizinprodukte-fda-zulassungen-europa-ai-act-2026/
Trainingsdefizite und informelle Nutzung persönlicher KI-Tools im Radiologiealltag,3,2,0,https://radiologiemagazin.de/insights/future-health-index-2026.html
Narrativ der KI als Assistenz statt Ersatz des Radiologen,3,0,0,https://aisuperior.com/de/image-recognition-for-medical-diagnosis/
