Label,Quadrant,Ring,Moved,Url
Kommerzialisierung supraleitender Stadtnetz-Kabel,0,1,0,
Ausbau von HGÜ in Richtung höherer Kapazität und Netzvermaschung,0,0,0,
Kabel- und Leitungstechnik wird auf höhere thermische und elektrische Leistungsgrenzen gehoben,0,0,0,
Solid-State-Transformatoren rücken in konkrete Industrieanwendungen vor,1,1,0,
KI wird in Netztechnik und Netzbetrieb operationalisiert,1,1,0,
Drahtlose Energieübertragung diversifiziert sich technologisch,1,2,0,
Netzanschlüsse für große Stromverbraucher werden stärker formalisiert und selektiver vergeben,2,0,0,
Übertragungsinfrastruktur zieht große Kapital- und Eigentumstransaktionen an,3,0,0,
Eigentümerstrukturen von Netzbetreibern geraten stärker unter regulatorische Beobachtung,3,3,0,
Grenzüberschreitende Energieinfrastruktur wird partnerschaftlich ausgebaut,0,0,0,
Offshore-Wind treibt Nachfrage nach spezialisierter Übertragungs- und Anschlusstechnik,0,0,0,
Test- und Demonstrationsinfrastruktur für neue Netztechnik wird ausgebaut,1,1,0,
